Usia,Penghasilan,Status_Pekerjaan,Jumlah_Tanggungan,Riwayat_Kredit,Besar_Pinjaman,Jangka_Waktu,Layak
58,1,Tidak Bekerja,3,Lancar,99,20,Tidak Layak
48,17,Swasta,2,Lancar,141,10,Layak
34,6,Swasta,3,Lancar,484,15,Layak
27,1,PNS,0,Lancar,306,15,Tidak Layak
40,11,Pelajar,2,Macet,285,10,Tidak Layak
58,7,PNS,1,Lancar,290,25,Layak
38,1,Wirausaha,0,Lancar,146,20,Tidak Layak
42,17,Wirausaha,1,Lancar,186,25,Layak
30,11,Swasta,3,Lancar,400,5,Layak
30,11,Wirausaha,1,Lancar,172,10,Layak
43,22,Swasta,4,Lancar,99,20,Layak
55,6,Swasta,3,Lancar,492,20,Layak
59,12,Swasta,3,Lancar,162,10,Layak
43,18,Pelajar,0,Lancar,338,15,Layak
22,5,PNS,3,Lancar,480,25,Layak
41,5,Swasta,1,Lancar,397,5,Layak
21,2,Wirausaha,3,Lancar,392,15,Tidak Layak
43,10,Swasta,4,Lancar,90,25,Layak
49,11,Swasta,5,Lancar,333,25,Layak
57,22,Wirausaha,3,Lancar,302,25,Layak
21,16,Pelajar,5,Lancar,271,5,Tidak Layak
40,4,Pelajar,4,Lancar,128,5,Tidak Layak
52,17,Pelajar,3,Lancar,449,5,Tidak Layak
31,12,Tidak Bekerja,1,Lancar,439,20,Layak
41,20,PNS,0,Lancar,164,5,Layak
44,24,PNS,2,Lancar,455,15,Layak
46,5,PNS,5,Lancar,293,10,Layak
47,1,Swasta,4,Lancar,226,15,Tidak Layak
35,11,Pelajar,2,Macet,490,5,Tidak Layak
34,8,Tidak Bekerja,1,Lancar,66,25,Layak
22,17,PNS,3,Lancar,86,5,Layak
56,15,PNS,5,Lancar,149,5,Layak
26,13,PNS,4,Macet,489,10,Layak
40,5,Wirausaha,0,Lancar,432,5,Layak
28,3,Swasta,2,Lancar,494,10,Tidak Layak
58,24,Wirausaha,1,Lancar,298,20,Layak
37,22,Wirausaha,2,Lancar,443,15,Layak
23,12,Swasta,0,Lancar,52,5,Layak
44,18,Pelajar,1,Macet,210,20,Tidak Layak
33,17,Tidak Bekerja,1,Macet,210,5,Tidak Layak
